section;entree;nature;sous_entree;traduction_ewe
A;accorder;vt;;so nu kple nu bubu, dzo nu, so nu kpo. acc  —  acc
A;;;(concéder);lô de nu dzi.
A;;;un différend :;lé avu.
A;;;(donner);tso nu m arme, na nu ame.
A;s'accorder;v;;wg deka kple ame, zg kple ame, no nya  deka  dzi  kple  ame.
A;accoster;vt;;te de ame nu (be yea îo nu kplee).
A;;;(navire);vvu dze, wu di go (de afiade).
A;accouchée;f;;vidzila, vidzisino.
A;accouchement;m;;vidzidzi.
A;;;(aide);vihéhé.
A;;;précoce;vi dodroe, fugege. faire  un-    hé  vi.
A;accoucher;vt;;dzi vi.
A;;;avant le terme;dro vi.
A;accoucheur;m;;vihela.
A;s'accouder;v;;tso aboklugui tu nu dzi.
A;accoupler;vt;;bla nu, kpe nu. s'accoupler    mô,  do  atsu,  lé  asi,  yo  asi. accourir    vi    îu  du  va.
A;;;vers q.;fu du yi ame gbo.
A;;;au secours de q.;nyâ aîa na ame.
A;accoutrer;v;;da atsyô, do atsyô.
A;accoutrement;m;;atsyôdodo.
A;s'accoutumer;v;;mâ; nu ma ame, dze nu. le  chien  s'accoutume  à  la  maison  :  aïe  me  mâ  de avû. s'-  à  un  travail   dowowo  mâ  ame,  dze  dowowo. accréditer  q.    vt   ko  ame  de  dzi,  do  koko  ame.
A;s'accréditer;v;;ho nko, de du.
A;accroc;m;;dzèdzè, dodro, mohenu, kufhee.
A;accrocher;vt;;ku nu de nu nu, te de nu nu. accroire    vi    (en  faire  à  q.)    ble  ame,  vivi  nù  me na  ame. s'en  faire-   dzè  glen,  dze  dokui  nu,  (de  nu  nuti).
A;accroissement;m;;takeke de dzi, lolo dé dzi, tsitsi.
A;accroître;vt;;dzi nu de dzi, wo nu woasogbo de dzi. s'accroître   so  gbo  de  dzi,  tsi  ;  dzi  de  dzi.
A;s'accroupir;v;;tsyo klo me, no akpukpo dzi ; no klê  me. être  accroupi    no  klotsinu. acc  —  ach
A;accueil;m;;hoho. accueillir  q.    vt    ho  ame.
A;;;q.;à bras ouverts ho ame atu, ho ame alo Vee. acculer  q.    vt    haha  ame. acculer  Pennemi    ha  futgwo.
A;;;des animaux;ha lâwo.
A;accumulateur;m;;îuîonu le machine me.
A;accumulation;f;;îuîoîo, tutudo.
A;accumuler;vt;;îo nu îu, tù nu do, li kg nu.
A;accusateur;m;;amenutsola, samala. accusation    î    amenutsotso,  sabasaba,  samasama.
A;accusé;m;;ame si wosama, ame si nu wotso, nyatg.
A;accuser;vt;;tso ame nu, sama ame, saba ame.
A;;;q. de qc.;te nya de ame dzi, de nu ame nu.
