section;entree;nature;sous_entree;traduction_ewe
A;accusé;m;;ame si wosama, ame si nu wotso, nyatg
A;accuser;vt;;tso ame nu, sama ame, saba ame
A;;;q. de qc.;te nya de ame dzi, de nu ame nu
A;;;q. devant le chef;tso ame nu na fia
A;;;ses;péchés wu nuvôwo me na
A;acérer;vt;;nyrê nu
A;acharnement;m;;dziku, anyirawowg, nkubiabiâ
A;acharner;vt;;kpla avû do
A;achat;m;;nuîeîle
A;;;(de;liquides) nudzedze
A;acheminer;vt;;do mg nu
A;s'acheminer;v;;dze mg dzi
A;acheter;vt;;île nu
A;;;qc. à deux francs;île nu îrâ eve
A;;;au comptant;île nu kple gasiasi
A;;;à crédit;île nu agbana
A;;;à bon marché;îo abgnyônu, edi ekpo
A;;;qc de q.;île nu le ame si
A;;;qc. pour q.;île nu na ame
A;;;pour un franc;île nu îrâ deka nu
A;achèvement;m;;nuwuwu, tsotsg
A;achever;vt;;wu nu, vo nu, do mlge nu. Vocabulaire o 14 • ach — act être achevé tso, vo
A;s'achever;v;;wu mi, vo
A;acier;m;;ga sesê
A;acompte;m;;akana, îemekaka
A;à-coup;m;;dudu, hehe, kpotiti
A;acquérir;vt;;ho nu, ho nu to dowowo me
A;;;des connaissances;srô nu, kpla nunya
A;;;des richesses;kpo kesinonu
A;acquêt;m;;hoho, kpokpo
A;acquiescement;m;;nyadzilolô
A;acquiescer,;vt;;lô de nyâ dzi
A;acquitter;vt;;tso aîia nyuie na ame
A;acte;m;;do, wowo, nuwowo
A;;;de complaisance;nyonyô, nudzeamewowo
A;;;d'hostilité;kelélé
A;;;de;grâces akpedada
A;activement;adv;;kple veviedodo, veviedonutoe
A;activer;vt;;do vevie nu, do nu de ngo, wo nui woadze dzi nyuie
A;acteur;m;;nutsu îeîela, nuwola
A;actuellement;adv;;fifia, fifi, fifilayi
A;adage;m;;lododo. Adam np Adam (nutsu riko)
A;adapter;vt;;so nu de nu nu, dzi dze nu ekpo
A;additionner;vt;;kpe nu de nu nu
A;adhérence;f;;kuku de nu nu
A;adieu;m;;kaklâ : amekaklâ
A;adjectif;m;;nonomefianya
A;adjoindre;vt;;kpe de nu nu
A;adjuration;f;;nutata, atamkaka, hoyoyo
A;admettre;vt;;na mo, de mo na ame
A;;;q. dans une société;ho ame de ha me
